,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,config,time_since_restore,iterations_since_restore
223,0.923499835703551,0.8557646012301156,0.9374440697843154,0.7442727275210514,,,,18,1741926021,,False,19,3a949_00005,2025-03-13_21-20-21,8.68142819404602,339.97733879089355,3012684,cscigpu,132.241.1.14,"{'lr0': 0.005015191994574664, 'batch': 8, 'imgsz': 1024}",339.97733879089355,19
58,0.8930983276755711,0.9014626543546629,0.9356513223629151,0.742295640343178,,,,21,1741925456,,False,22,3a949_00003,2025-03-13_21-10-56,9.52225637435913,399.3219356536865,2998828,cscigpu,132.241.1.14,"{'lr0': 0.00014227346955909703, 'batch': 16, 'imgsz': 1280}",399.3219356536865,22
36,0.8930983276755711,0.9014626543546629,0.9356513223629151,0.742295640343178,,,,21,1741928085,,False,22,3a949_00012,2025-03-13_21-54-45,9.695237159729004,399.976482629776,3058853,cscigpu,132.241.1.14,"{'lr0': 0.00232910409824944, 'batch': 16, 'imgsz': 1280}",399.976482629776,22
134,0.8930983276755711,0.9014626543546629,0.9356513223629151,0.742295640343178,,,,21,1741924744,,False,22,3a949_00001,2025-03-13_20-59-04,9.450193405151367,398.8849108219147,2984763,cscigpu,132.241.1.14,"{'lr0': 0.001049195393253453, 'batch': 16, 'imgsz': 1280}",398.8849108219147,22
170,0.8942917313118962,0.8788334251193705,0.9401557370159388,0.7361925312939677,,,,18,1741925050,,False,19,3a949_00002,2025-03-13_21-04-10,7.8494274616241455,297.7972593307495,2992680,cscigpu,132.241.1.14,"{'lr0': 0.003011425098087211, 'batch': 8, 'imgsz': 640}",297.7972593307495,19
204,0.8942917313118962,0.8788334251193705,0.9401557370159388,0.7361925312939677,,,,18,1741929317,,False,19,3a949_00016,2025-03-13_22-15-17,10.625645160675049,352.3999891281128,3085611,cscigpu,132.241.1.14,"{'lr0': 0.0008106669387899255, 'batch': 8, 'imgsz': 640}",352.3999891281128,19
311,0.8942917313118962,0.8788334251193705,0.9401557370159388,0.7361925312939677,,,,18,1741927534,,False,19,3a949_00010,2025-03-13_21-45-34,7.79577112197876,301.066370010376,3048306,cscigpu,132.241.1.14,"{'lr0': 0.00038419449435100265, 'batch': 8, 'imgsz': 640}",301.066370010376,19
80,0.90123505101307,0.8426099370125832,0.9259666389225847,0.7292139645139708,,,,21,1741928850,,False,22,3a949_00015,2025-03-13_22-07-30,10.24242639541626,387.33673310279846,3076724,cscigpu,132.241.1.14,"{'lr0': 0.0034386513662941235, 'batch': 32, 'imgsz': 1280}",387.33673310279846,22
272,0.8323987234462815,0.866747357829655,0.9122374127330417,0.7141509659681291,,,,16,1741927678,,False,17,3a949_00011,2025-03-13_21-47-58,7.970890998840332,135.41701793670654,3055615,cscigpu,132.241.1.14,"{'lr0': 0.0001542358009643005, 'batch': 32, 'imgsz': 640}",135.41701793670654,17
112,0.8323987234462815,0.866747357829655,0.9122374127330417,0.7141509659681291,,,,16,1741927226,,False,17,3a949_00009,2025-03-13_21-40-26,7.714646816253662,140.72107768058777,3044612,cscigpu,132.241.1.14,"{'lr0': 0.0002989695902379623, 'batch': 32, 'imgsz': 640}",140.72107768058777,17
255,0.8323987234462815,0.866747357829655,0.9122374127330417,0.7141509659681291,,,,16,1741928455,,False,17,3a949_00014,2025-03-13_22-00-55,7.610163927078247,137.20021390914917,3073229,cscigpu,132.241.1.14,"{'lr0': 0.0011610777940857056, 'batch': 32, 'imgsz': 640}",137.20021390914917,17
292,0.8572437046825345,0.8852893953372156,0.9241902198849639,0.7125021480628819,,,,19,1741926486,,False,20,3a949_00006,2025-03-13_21-28-06,12.848327159881592,457.10951495170593,3020338,cscigpu,132.241.1.14,"{'lr0': 0.0007877637695925764, 'batch': 8, 'imgsz': 1280}",457.10951495170593,20
151,0.8784252445654136,0.8593120015526363,0.9116524673383029,0.6901623133840808,,,,16,1741928310,,False,17,3a949_00013,2025-03-13_21-58-30,8.993172883987427,216.38392782211304,3068035,cscigpu,132.241.1.14,"{'lr0': 0.000462337917383217, 'batch': 32, 'imgsz': 1024}",216.38392782211304,17
238,0.8468862892786045,0.8365202428323677,0.887277217380649,0.6871213699007029,,,,14,1741925673,,False,15,3a949_00004,2025-03-13_21-14-33,8.643204927444458,209.36945056915283,3007593,cscigpu,132.241.1.14,"{'lr0': 0.0003572275179614304, 'batch': 16, 'imgsz': 1024}",209.36945056915283,15
14,0.8468862892786045,0.8365202428323677,0.887277217380649,0.6871213699007029,,,,14,1741927078,,False,15,3a949_00008,2025-03-13_21-37-58,9.1037917137146,268.3460109233856,3038139,cscigpu,132.241.1.14,"{'lr0': 0.0003354192928236159, 'batch': 16, 'imgsz': 1024}",268.3460109233856,15
185,0.8468862892786045,0.8365202428323677,0.887277217380649,0.6871213699007029,,,,14,1741924337,,False,15,3a949_00000,2025-03-13_20-52-17,8.579432964324951,208.7640941143036,2980565,cscigpu,132.241.1.14,"{'lr0': 0.0002072947407157568, 'batch': 16, 'imgsz': 1024}",208.7640941143036,15
95,0.8468862892786045,0.8365202428323677,0.887277217380649,0.6871213699007029,,,,14,1741926802,,False,15,3a949_00007,2025-03-13_21-33-22,11.024759769439697,307.3440239429474,3031077,cscigpu,132.241.1.14,"{'lr0': 0.0020542212615675686, 'batch': 16, 'imgsz': 1024}",307.3440239429474,15
326,0.8468862892786045,0.8365202428323677,0.887277217380649,0.6871213699007029,,,,14,1741929630,,False,15,3a949_00017,2025-03-13_22-20-30,11.975347757339478,305.12059688568115,3094200,cscigpu,132.241.1.14,"{'lr0': 0.0017326419923418496, 'batch': 16, 'imgsz': 1024}",305.12059688568115,15
