epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6197,1.77848,6.40012,2.18566,0.44592,0.15499,0.21687,0.10108,1.80997,2.81748,1.95445,0.000150472,0.000150472,0.000150472
2,52.6788,1.50465,4.82803,1.91142,0.32036,0.4257,0.33845,0.17392,1.7432,3.01985,1.97077,0.000296157,0.000296157,0.000296157
3,77.1081,1.44985,4.0641,1.84672,0.41964,0.44873,0.37558,0.1878,1.77645,2.23602,1.99,0.000435835,0.000435835,0.000435835
4,101.367,1.37987,3.43615,1.82365,0.42211,0.52885,0.48962,0.24516,1.65856,2.14714,1.8719,0.000427973,0.000427973,0.000427973
5,125.588,1.38874,2.99981,1.77686,0.51933,0.48997,0.43513,0.21027,1.68935,2.14653,1.922,0.000418964,0.000418964,0.000418964
6,149.732,1.35464,2.55452,1.74936,0.51594,0.59657,0.56635,0.32147,1.67803,1.75017,1.91462,0.000409955,0.000409955,0.000409955
7,174.018,1.32343,2.25459,1.71198,0.55788,0.67826,0.67376,0.36042,1.56738,1.63098,1.76575,0.000400946,0.000400946,0.000400946
8,198.201,1.30934,2.06804,1.70477,0.54082,0.70935,0.7063,0.3962,1.55035,1.56261,1.74966,0.000391937,0.000391937,0.000391937
9,222.323,1.27323,1.92314,1.68894,0.64697,0.71192,0.7395,0.422,1.54568,1.50325,1.77062,0.000382928,0.000382928,0.000382928
10,246.45,1.24993,1.7673,1.66052,0.56866,0.68149,0.71179,0.40058,1.59575,1.49276,1.84419,0.000373919,0.000373919,0.000373919
11,270.622,1.23507,1.64894,1.62717,0.76835,0.68035,0.78985,0.44056,1.59495,1.39618,1.80982,0.00036491,0.00036491,0.00036491
12,294.905,1.23072,1.56729,1.62626,0.65735,0.72799,0.75685,0.42453,1.57202,1.32232,1.84011,0.000355901,0.000355901,0.000355901
13,319.021,1.18955,1.50629,1.60685,0.75836,0.76855,0.83082,0.48676,1.4753,1.23886,1.71252,0.000346892,0.000346892,0.000346892
14,343.141,1.19358,1.4445,1.59714,0.80665,0.71099,0.8098,0.47421,1.50952,1.24918,1.76482,0.000337883,0.000337883,0.000337883
15,367.252,1.17937,1.3546,1.59695,0.62196,0.7775,0.81268,0.46907,1.51349,1.23071,1.81727,0.000328874,0.000328874,0.000328874
16,391.387,1.16033,1.29225,1.56983,0.73813,0.80808,0.83503,0.49773,1.50551,1.21004,1.72611,0.000319865,0.000319865,0.000319865
17,415.429,1.20077,1.32833,1.59202,0.69272,0.82303,0.81219,0.48747,1.52342,1.18686,1.70606,0.000310856,0.000310856,0.000310856
18,439.46,1.13597,1.23606,1.54796,0.75619,0.83595,0.84405,0.51593,1.48034,1.09973,1.67161,0.000301847,0.000301847,0.000301847
19,463.57,1.13622,1.20758,1.54655,0.81959,0.81085,0.87104,0.51586,1.46221,1.11656,1.75336,0.000292838,0.000292838,0.000292838
20,487.704,1.13258,1.19794,1.53099,0.77907,0.80888,0.84086,0.53202,1.37124,1.09818,1.64601,0.000283829,0.000283829,0.000283829
21,511.768,1.12546,1.12629,1.52449,0.82824,0.87236,0.88549,0.54318,1.4269,1.05585,1.71112,0.00027482,0.00027482,0.00027482
22,536.041,1.10977,1.09696,1.49768,0.82511,0.83245,0.88597,0.52253,1.51171,1.06293,1.87145,0.000265811,0.000265811,0.000265811
23,560.086,1.11148,1.10577,1.51071,0.83324,0.81256,0.88107,0.52776,1.43841,1.04598,1.75125,0.000256802,0.000256802,0.000256802
24,584.13,1.1003,1.07265,1.50821,0.83429,0.84998,0.89647,0.55545,1.43024,1.02253,1.66818,0.000247793,0.000247793,0.000247793
25,608.191,1.11332,1.04672,1.50851,0.86606,0.83884,0.9173,0.54497,1.44273,0.99319,1.76543,0.000238784,0.000238784,0.000238784
26,632.23,1.07605,0.9918,1.49199,0.8639,0.88758,0.9246,0.5831,1.37359,0.92444,1.63263,0.000229775,0.000229775,0.000229775
27,656.432,1.0843,1.0121,1.4732,0.85756,0.87472,0.909,0.5639,1.4229,1.00389,1.72407,0.000220766,0.000220766,0.000220766
28,680.424,1.06245,0.98635,1.50108,0.86808,0.8838,0.91922,0.54252,1.49043,0.958,1.85204,0.000211757,0.000211757,0.000211757
29,704.569,1.07809,0.99166,1.48016,0.86748,0.89818,0.9265,0.57607,1.41362,0.86675,1.69816,0.000202748,0.000202748,0.000202748
