metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.03882,0.73112,0.10409,0.07285,1.07855,3.47554,1.70122,1,1741928499,,False,1,3a949_00015,2025-03-13_22-01-39,36.91392135620117,36.91392135620117,3076724,cscigpu,132.241.1.14,36.91392135620117,1
0.67464,0.27253,0.47384,0.30769,1.19477,2.51182,1.86539,2,1741928516,,False,2,3a949_00015,2025-03-13_22-01-56,17.04843783378601,53.96235918998718,3076724,cscigpu,132.241.1.14,53.96235918998718,2
0.52012,0.54818,0.54018,0.3823,1.14063,2.0323,1.80351,3,1741928533,,False,3,3a949_00015,2025-03-13_22-02-13,16.568600177764893,70.53095936775208,3076724,cscigpu,132.241.1.14,70.53095936775208,3
0.62142,0.57142,0.64523,0.45093,1.16447,1.72717,1.8149,4,1741928550,,False,4,3a949_00015,2025-03-13_22-02-30,16.71366572380066,87.24462509155273,3076724,cscigpu,132.241.1.14,87.24462509155273,4
0.69133,0.64246,0.72174,0.53485,1.05622,1.56167,1.65678,5,1741928566,,False,5,3a949_00015,2025-03-13_22-02-46,16.62759280204773,103.87221789360046,3076724,cscigpu,132.241.1.14,103.87221789360046,5
0.77364,0.63857,0.75203,0.52708,1.18399,1.51656,1.77161,6,1741928583,,False,6,3a949_00015,2025-03-13_22-03-03,16.69197702407837,120.56419491767883,3076724,cscigpu,132.241.1.14,120.56419491767883,6
0.80238,0.73411,0.82246,0.57322,1.20582,1.22809,1.78088,7,1741928600,,False,7,3a949_00015,2025-03-13_22-03-20,16.4980366230011,137.06223154067993,3076724,cscigpu,132.241.1.14,137.06223154067993,7
0.7781,0.72154,0.79001,0.55955,1.24047,1.2722,1.76194,8,1741928616,,False,8,3a949_00015,2025-03-13_22-03-36,16.412978887557983,153.47521042823792,3076724,cscigpu,132.241.1.14,153.47521042823792,8
0.79593,0.68419,0.8018,0.58389,1.14615,1.2881,1.69659,9,1741928632,,False,9,3a949_00015,2025-03-13_22-03-52,16.489165782928467,169.96437621116638,3076724,cscigpu,132.241.1.14,169.96437621116638,9
0.85425,0.75403,0.86701,0.62826,1.0802,1.06026,1.65644,10,1741928649,,False,10,3a949_00015,2025-03-13_22-04-09,16.462188482284546,186.42656469345093,3076724,cscigpu,132.241.1.14,186.42656469345093,10
0.79912,0.76086,0.84175,0.62252,1.05353,1.16862,1.59859,11,1741928665,,False,11,3a949_00015,2025-03-13_22-04-25,16.436599731445312,202.86316442489624,3076724,cscigpu,132.241.1.14,202.86316442489624,11
0.89447,0.75288,0.85995,0.64579,1.00831,1.04909,1.57443,12,1741928683,,False,12,3a949_00015,2025-03-13_22-04-43,17.59881329536438,220.46197772026062,3076724,cscigpu,132.241.1.14,220.46197772026062,12
0.82939,0.83997,0.85561,0.65196,0.9605,0.95713,1.51645,13,1741928702,,False,13,3a949_00015,2025-03-13_22-05-02,18.749292612075806,239.21127033233643,3076724,cscigpu,132.241.1.14,239.21127033233643,13
0.84025,0.75864,0.86151,0.61741,1.14649,1.07492,1.70902,14,1741928718,,False,14,3a949_00015,2025-03-13_22-05-18,16.375653743743896,255.58692407608032,3076724,cscigpu,132.241.1.14,255.58692407608032,14
0.87445,0.79007,0.88641,0.64822,1.09965,0.99128,1.66011,15,1741928735,,False,15,3a949_00015,2025-03-13_22-05-35,16.425654888153076,272.0125789642334,3076724,cscigpu,132.241.1.14,272.0125789642334,15
0.86833,0.8488,0.90492,0.66813,1.07298,0.89335,1.6083,16,1741928751,,False,16,3a949_00015,2025-03-13_22-05-51,16.427202701568604,288.439781665802,3076724,cscigpu,132.241.1.14,288.439781665802,16
0.85538,0.83609,0.89521,0.66163,1.04909,0.88741,1.57635,17,1741928767,,False,17,3a949_00015,2025-03-13_22-06-07,16.44725227355957,304.8870339393616,3076724,cscigpu,132.241.1.14,304.8870339393616,17
0.89057,0.85774,0.91803,0.70861,0.93951,0.82343,1.47464,18,1741928787,,False,18,3a949_00015,2025-03-13_22-06-27,19.399642944335938,324.2866768836975,3076724,cscigpu,132.241.1.14,324.2866768836975,18
0.88531,0.86999,0.91729,0.68694,1.00654,0.82726,1.52747,19,1741928803,,False,19,3a949_00015,2025-03-13_22-06-43,16.340145587921143,340.62682247161865,3076724,cscigpu,132.241.1.14,340.62682247161865,19
0.87421,0.84236,0.90879,0.67077,1.04564,0.86537,1.60402,20,1741928820,,False,20,3a949_00015,2025-03-13_22-07-00,16.921650886535645,357.5484733581543,3076724,cscigpu,132.241.1.14,357.5484733581543,20
0.86178,0.81308,0.8849,0.67559,0.96617,0.92728,1.53689,21,1741928840,,False,21,3a949_00015,2025-03-13_22-07-20,19.545833349227905,377.0943067073822,3076724,cscigpu,132.241.1.14,377.0943067073822,21
0.90123505101307,0.8426099370125832,0.9259666389225847,0.7292139645139708,,,,21,1741928850,,False,22,3a949_00015,2025-03-13_22-07-30,10.24242639541626,387.33673310279846,3076724,cscigpu,132.241.1.14,387.33673310279846,22
